"CNNGB01","CNNGB01","寧波","NINGBO"
"USGLS01","USGLS01","","GALVESTON, TX"
"SEGOT01","SEGOT01","","GOTHENBURG"
"TWTPE01","TWTPE01","臺北","台北","TAIPEI"
"THLCH01","THLCH01","南加邦","LAEM CHABANG"
"SAJED01","SAJED01","吉達","JEDDAH"
"YEADE01","YEADE01","亞丁","ADEN"
"EGPS101","EGPS101","","WAN HAI AGENG-PORT SAID"
"CNSZ101","CNSZ101","","WAN HAI AGENT-SHENZHEN"
"GBNCS01","GBNCS01","","NEWCASTLE"
"IDBDJ01","IDBDJ01","","BANJARMASIN"
"USBAL01","USBAL01","","BALTIMORE, MD"
"NLRTM01","NLRTM01","鹿特丹","ROTTERDAM"
"BRSSZ01","BRSSZ01","","SANTOS"
"PKKHI01","PKKHI01","喀拉蚩","KARACHI"
"JPTYO01","JPTYO01","東京","TOKYO"
"CNTAO01","CNTAO01","青島","QINGDAO"
"PHCGY01","PHCGY01","卡加延-聖德羅","CAGAYAN DE ORO"
"EGSOK01","EGSOK01","","SOKHNA PORT"
"ROCND01","ROCND01","康斯坦塔","CONSTANTA"
"RUNVS01","RUNVS01","","NOVOROSSIYSK"
"RUVVO01","RUVVO01","","VLADIVOSTOK"
"SDPZU01","SDPZU01","蘇丹","PORT SUDAN"
"USPVD01","USPVD01","","PROVIDENCE, RI"
"ESGIJ01","ESGIJ01","","GIJON"
"ESVLC01","ESVLC01","瓦倫西亞","VALENCIA"
"IEBTM01","IEBTM01","","BALTIMORE"
"INPAV01","INPAV01","皮帕瓦沃","PIPAVAV"
"INCOK01","INCOK01","","COCHIN"
"INTUT01","INTUT01","","TUTICORIN  NEW TUTICORIN"
"IQUQR01","IQUQR01","","UMM QASR"
"KEMBA01","KEMBA01","蒙巴薩","MOMBASA"
"KRMAS01","KRMAS01","","MASAN"
"KRSEL01","KRSEL01","首爾","SEOUL"
"IDMRK01","IDMRK01","孔雀港","MERAK"
"FITKU01","FITKU01","","TURKU  ABO"
"JPFKY01","JPFKY01","福山港","FUKUYAMA"
"BDCGP01","BDCGP01","吉大港","CHATTOGRAM"
"UAODS01","UAODS01","","ODESSA"
"PHSFS01","PHSFS01","蘇比克灣","SUBIC BAY"
"EGSUZ01","EGSUZ01","","SUEZ"
"VNHPH01","VNHPH01","海防","HAIPHONG"
"BRPNG01","BRPNG01","","PARANAGUA"
"HKHKG01","HKHKG01","香港","HONG KONG"
"JPHIJ01","JPHIJ01","廣島","HIROSHIMA"
"JPHKT01","JPHKT01","博多","HAKATA"
"MYPEN01","MYPEN01","檳城","PENANG"
"IDPLM01","IDPLM01","","PALEMBANG"
"IDPNK01","IDPNK01","","PONTIANAK KALIMANTAN"
"IDPJN01","IDPJN01","","PANJANG"
"JPMIZ01","JPMIZ01","水島","MIZUSHIMA"
"UYMVD01","UYMVD01","","MONTEVIDEO"
"MYMYY01","MYMYY01","","MIRI"
"KRUSN01","KRUSN01","","ULSAN"
"IDUPG01","IDUPG01","","UJUNG PANDANG"
"DEHAM01","DEHAM01","漢堡港","HAMBURG"
"VNSGN01","VNSGN01","胡志明市","TAN CANG, HOCHIMINH"
"JPMOJ01","JPMOJ01","門司","MOJI"
"ARBUE01","ARBUE01","布宜諾斯艾利斯","BUENOS AIRES"
"ESBCN01","ESBCN01","巴塞隆納","BARCELONA"
"LBBEY01","LBBEY01","","BEIRUT"
"MYPGU01","MYPGU01","柔佛","PASIR GUDANG,JOHOR"
"IDBDO01","IDBDO01","","BANDUNG, JAVA"
"DEBRV01","DEBRV01","漢堡","BREMERHAVEN"
"THBKK01","THBKK01","曼谷","BANGKOK"
"IDBLW01","IDBLW01","不老灣","BELAWAN, SUMATRA"
"INBOM01","INBOM01","","MUMBAI"
"IDJKT01","IDJKT01","雅加達","JAKARTA"
"TRMER01","TRMER01","","MERSIN"
"BRRIG01","BRRIG01","","RIO GRANDE"
"BRRIO01","BRRIO01","里約熱內盧","RIO DE JANEIRO"
"CNZHA01","CNZHA01","湛江","ZHANJIANG"
"PHGES01","PHGES01","聖多斯將軍","GENERAL SANTOS"
"LKCMB01","LKCMB01","可倫坡","COLOMBO"
"CNZSN01","CNZSN01","中山","ZHONGSHAN"
"KRPUS01","KRPUS01","釜山","PUSAN"
"MYBTU01","MYBTU01","","BINTULU, SARAWAK"
"TWKHH01","TWKHH01","高雄","KAOHSIUNG"
"MYSDK01","MYSDK01","","SANDAKAN"
"CNSHA01","CNSHA01","上海","SHANGHAI"
"IDSRG01","IDSRG01","三寶瀧","SEMARANG"
"CNCKG01","CNCKG01","重慶","CHONGQING"
"KHPNH01","KHPNH01","金邊","PHNOMPENH"
"GRPIR01","GRPIR01","比雷埃夫斯","PIRAEUS"
"CNXMN01","CNXMN01","廈門","XIAMEN"
"GBSOU01","GBSOU01","","SOUTHAMPTON"
"MYSBW01","MYSBW01","","SIBU"
"PHCEB01","PHCEB01","宿霧","CEBU"
"JPTKY01","JPTKY01","德山","TOKUYAMA"
"JPUKB01","JPUKB01","神戶","KOBE"
"JPNAH01","JPNAH01","那霸","NAHA OKINAWA"
"MYKCH01","MYKCH01","古晉","KUCHING"
"MYPKG01","MYPKG01","巴生港","PORT KLANG NORTH PORT"
"MYBKI01","MYBKI01","","KOTA KINABALU"
"CNLYG01","CNLYG01","連雲港","LIANYUNGANG"
"TZDAR01","TZDAR01","三蘭港","DAR ES SALAAM"
"VNUIH01","VNUIH01","歸仁港","QUY NHON"
"YEHOD01","YEHOD01","","HODEIDAH"
"JOAQJ01","JOAQJ01","約旦","AQABA"
"CNFOC01","CNFOC01","福州-馬尾","FUZHOU"
"PHMNL01","PHMNL01","","MANILA"
"IDBTM01","IDBTM01","","BATAM"
"HKHKK01","HKHKK01","","HKHKK01- FOR FINANCE USED"
"KRKWY01","KRKWY01","光陽","KWANGYANG"
"JPKWS01","JPKWS01","川崎","KAWASAKI"
"BRITJ01","BRITJ01","","ITAJAI, SC"
"PHDVO01","PHDVO01","達沃","DAVAO"
"JPISG01","JPISG01","","ISHIGAKI"
"JPCHB01","JPCHB01","千葉","CHIBA"
"AEAUH01","AEAUH01","","ABU DHABI"
"CNSWA01","CNSWA01","汕頭","SHANTOU"
"SGSIN01","SGSIN01","","SINGAPORE"
"IDSUB01","IDSUB01","泗水","SURABAYA"
"JPSMZ01","JPSMZ01","清水","SHIMIZU"
"CNWHN01","CNWHN01","武漢","WUHAN"
"JPOSA01","JPOSA01","大阪","OSAKA"
"INCCU01","INCCU01","","KOLKATA"
"USILG01","USILG01","","WILMINGTON, DE"
"ITLIV01","ITLIV01","","LIVORNO"
"MYTWU01","MYTWU01","","TAWAU"
"FRLEH01","FRLEH01","","LE HAVRE"
"ITGOA01","ITGOA01","熱內亞","GENOVA  GENOA"
"GUGUM01","GUGUM01","關島","GUAM"
"CNCAN01","CNCAN01","廣州","GUANGZHOU"
"CNDLC01","CNDLC01","大連","DALIAN"
"SADMN01","SADMN01","達曼","AD DAMMAM"
"ZADUR01","ZADUR01","德班","DURBAN"
"TWTXG01","TWTXG01","臺中","TAICHUNG"
"USLGB01","USLGB01","長灘","LONG BEACH, CA"
"EGALY01","EGALY01","","ALEXANDRIA"
"NLAMS01","NLAMS01","","AMSTERDAM"
"BEANR01","BEANR01","安特衛浦","ANTWERPEN"
"TRIST01","TRIST01","伊士坦堡","ISTANBUL"
"MMRGN01","MMRGN01","仰光","YANGON"
"JPYOK01","JPYOK01","橫濱","YOKOHAMA"
"JPYKK01","JPYKK01","四日市","YOKKAICHI"
"RULED01","RULED01","","ST PETERSBURG  FORMERLY "
"VNDAD01","VNDAD01","大南","DA NANG  PORT"
"JPNGO01","JPNGO01","名古屋","NAGOYA"
"CNNKG01","CNNKG01","南京","NANJING"
"CAVAN01","CAVAN01","溫哥華","VANCOUVER,B.C."
"GBNCL01","GBNCL01","","NEWCASTLE UPON TYNE"
"OMMCT01","OMMCT01","馬斯喀特","MUSCAT"